question_id,question,option_a,option_b,option_c,option_d,correct_answer,is_hard
1,What is the supreme law of the land?,The Declaration of Independence,The Constitution,The Bill of Rights,The Articles of Confederation,b,FALSE
2,What does the Constitution do?,Declares independence from Britain,Sets up the government and protects basic rights,Establishes the military,Creates the court system,b,FALSE
3,The idea of self-government is in the first three words of the Constitution. What are these words?,We the People,In God We Trust,All men are,E pluribus unum,a,FALSE
4,What is an amendment?,A change to the Constitution,A new law passed by Congress,A Supreme Court decision,A presidential order,a,FALSE
5,What do we call the first ten amendments to the Constitution?,The Bill of Rights,The Declaration of Rights,The Articles of Amendment,The Constitutional Amendments,a,FALSE
6,What is one right or freedom from the First Amendment?,The right to bear arms,Freedom of speech,The right to vote,Freedom from taxes,b,FALSE
7,How many amendments does the Constitution have?,10,21,27,50,c,FALSE
8,What did the Declaration of Independence do?,Declared war on Britain,Declared our independence from Britain,Created the Constitution,Established the first government,b,FALSE
9,What are two rights in the Declaration of Independence?,Life and liberty,Freedom and equality,Property and pursuit of happiness,Speech and religion,a,FALSE
10,What is freedom of religion?,You can practice any religion or not practice a religion,You must practice Christianity,The government chooses your religion,All religions are illegal except one,a,FALSE
11,What is the economic system in the United States?,Communist economy,Socialist economy,Capitalist economy,Traditional economy,c,FALSE
12,What is the rule of law?,Everyone must follow the law,Leaders are above the law,Laws are optional,Only citizens must follow the law,a,FALSE
13,Name one branch or part of the government.,Congress,The United Nations,The Federal Reserve,The Supreme Court,a,FALSE
14,What stops one branch of government from becoming too powerful?,Checks and balances,The President,The military,The Supreme Court,a,FALSE
15,Who is in charge of the executive branch?,The Speaker of the House,The Chief Justice,The President,The Vice President,c,FALSE
16,Who makes federal laws?,The President,Congress,The Supreme Court,The Governors,b,FALSE
17,What are the two parts of the U.S. Congress?,The Senate and House of Representatives,The House and the Cabinet,The Senate and the Supreme Court,The Congress and the President,a,FALSE
18,How many U.S. Senators are there?,50,100,200,435,b,FALSE
19,We elect a U.S. Senator for how many years?,2 years,4 years,6 years,8 years,c,FALSE
20,Who is one of your state's U.S. Senators now?,Answers will vary,John McCain,Hillary Clinton,Bernie Sanders,a,TRUE
21,The House of Representatives has how many voting members?,100,200,435,538,c,FALSE
22,We elect a U.S. Representative for how many years?,2 years,4 years,6 years,8 years,a,FALSE
23,Name your U.S. Representative.,Answers will vary,Nancy Pelosi,Paul Ryan,Kevin McCarthy,a,TRUE
24,Who does a U.S. Senator represent?,All people of the state,Only people who voted for them,Only their political party,Only the largest city in the state,a,FALSE
25,Why do some states have more Representatives than other states?,Because of the state's population,Because of when they joined the Union,Because of the state's size,Because of the state's wealth,a,FALSE
26,We elect a President for how many years?,2 years,4 years,6 years,8 years,b,FALSE
27,In what month do we vote for President?,January,July,September,November,d,FALSE
28,What is the name of the President of the United States now?,Answers will vary,Donald Trump,Joe Biden,Barack Obama,a,TRUE
29,What is the name of the Vice President of the United States now?,Answers will vary,Kamala Harris,Mike Pence,Dick Cheney,a,TRUE
30,If the President can no longer serve who becomes President?,The Speaker of the House,The Chief Justice,The Vice President,The Secretary of State,c,FALSE
31,If both the President and the Vice President can no longer serve who becomes President?,The Speaker of the House,The Chief Justice,The Secretary of State,The President pro tempore,a,FALSE
